combined_shot_type;loc_x;loc_y;minutes_remaining;period;playoffs;season;seconds_remaining;shot_made_flag;shot_type
Jump Shot;126;-3;2;3;0;2007-08;50;0;2PT Field Goal
Jump Shot;113;120;9;1;0;2004-05;5;1;2PT Field Goal
Jump Shot;-176;66;11;3;0;2000-01;12;0;2PT Field Goal
Jump Shot;-141;-8;6;4;1;1999-00;15;0;2PT Field Goal
Jump Shot;80;145;3;5;0;2006-07;50;0;2PT Field Goal
Dunk;0;0;8;2;0;1998-99;23;1;2PT Field Goal
Jump Shot;-89;91;1;4;0;1999-00;28;1;2PT Field Goal
Jump Shot;18;84;9;1;0;2002-03;5;1;2PT Field Goal
Jump Shot;81;165;8;1;0;2000-01;50;0;2PT Field Goal
Jump Shot;-8;53;3;3;0;1997-98;45;1;2PT Field Goal
Jump Shot;182;-6;1;4;0;2005-06;34;0;2PT Field Goal
Jump Shot;-191;114;10;2;0;2006-07;56;0;2PT Field Goal
Jump Shot;-58;76;5;4;0;2000-01;14;0;2PT Field Goal
Jump Shot;135;54;6;1;0;2006-07;50;0;2PT Field Goal
Layup;0;0;4;3;0;1998-99;31;0;2PT Field Goal
Jump Shot;-199;149;2;3;0;2015-16;0;0;3PT Field Goal
Jump Shot;35;135;1;3;0;2000-01;4;1;2PT Field Goal
Dunk;0;0;6;2;0;2002-03;9;1;2PT Field Goal
Jump Shot;-109;-10;1;3;0;2011-12;23;0;2PT Field Goal
Jump Shot;-128;135;2;2;0;2008-09;43;1;2PT Field Goal
Jump Shot;2;104;5;1;1;2009-10;24;0;2PT Field Goal
Jump Shot;53;56;8;3;0;2009-10;29;0;2PT Field Goal
Jump Shot;155;206;8;3;0;2009-10;16;1;3PT Field Goal
Jump Shot;-106;48;3;3;0;1997-98;35;1;2PT Field Goal
Jump Shot;7;57;9;1;0;2000-01;8;0;2PT Field Goal
Jump Shot;87;-16;2;2;0;1999-00;24;1;2PT Field Goal
Jump Shot;75;23;9;1;0;2000-01;11;0;2PT Field Goal
Jump Shot;-232;34;4;3;0;2012-13;12;0;3PT Field Goal
Jump Shot;1;206;2;1;0;2005-06;50;0;2PT Field Goal
Jump Shot;-141;140;3;1;1;2003-04;42;0;2PT Field Goal
Jump Shot;-245;-11;1;4;0;2010-11;13;0;3PT Field Goal
Jump Shot;51;172;0;1;0;2008-09;2;0;2PT Field Goal
Jump Shot;-110;120;9;2;0;2002-03;36;0;2PT Field Goal
Jump Shot;79;150;3;1;0;2006-07;23;0;2PT Field Goal
Jump Shot;151;199;11;3;0;2005-06;15;1;3PT Field Goal
Jump Shot;-216;160;4;1;0;1999-00;7;0;3PT Field Goal
Jump Shot;73;97;10;4;0;2009-10;42;0;2PT Field Goal
Jump Shot;140;119;7;2;1;2011-12;6;0;2PT Field Goal
Layup;0;0;0;1;0;2001-02;2;1;2PT Field Goal
Jump Shot;85;26;9;1;0;2004-05;58;0;2PT Field Goal
Jump Shot;-72;56;10;3;0;2006-07;36;1;2PT Field Goal
Jump Shot;133;159;6;2;0;2009-10;9;0;2PT Field Goal
Jump Shot;39;255;8;4;0;2002-03;59;0;3PT Field Goal
Jump Shot;98;93;1;3;0;1998-99;14;0;2PT Field Goal
Jump Shot;-87;28;4;3;1;2009-10;29;1;2PT Field Goal
Jump Shot;121;219;0;1;0;2005-06;33;0;3PT Field Goal
Jump Shot;-99;282;9;1;0;2015-16;9;0;3PT Field Goal
Jump Shot;54;114;1;1;0;2003-04;26;0;2PT Field Goal
Jump Shot;-109;26;1;4;0;2011-12;54;0;2PT Field Goal
Layup;0;0;1;4;0;1998-99;35;0;2PT Field Goal
Jump Shot;112;242;5;2;0;2015-16;37;1;3PT Field Goal
Layup;0;9;8;1;0;2012-13;28;1;2PT Field Goal
Layup;0;0;4;4;0;1997-98;51;0;2PT Field Goal
Jump Shot;190;163;1;4;0;2006-07;38;1;3PT Field Goal
Layup;0;22;6;2;0;2012-13;20;1;2PT Field Goal
Jump Shot;-74;61;3;3;0;2003-04;37;0;2PT Field Goal
Jump Shot;98;48;1;6;0;2006-07;27;1;2PT Field Goal
Jump Shot;-231;-3;10;3;0;2011-12;11;0;3PT Field Goal
Jump Shot;-194;161;1;4;0;2007-08;53;0;3PT Field Goal
Jump Shot;-44;143;3;2;1;1997-98;40;1;2PT Field Goal
Jump Shot;-174;76;4;2;0;2005-06;24;1;2PT Field Goal
Jump Shot;13;260;4;1;0;2005-06;23;0;3PT Field Goal
Jump Shot;-33;158;11;2;0;1997-98;30;1;2PT Field Goal
Jump Shot;-67;160;5;1;0;2007-08;17;1;2PT Field Goal
Jump Shot;-101;142;8;3;0;2014-15;44;1;2PT Field Goal
Jump Shot;81;15;10;2;0;2000-01;24;0;2PT Field Goal
Jump Shot;-153;209;9;4;0;2004-05;54;0;3PT Field Goal
Layup;0;0;2;4;0;2009-10;36;1;2PT Field Goal
Jump Shot;130;33;9;1;0;1998-99;40;0;2PT Field Goal
Layup;0;0;7;4;0;1997-98;2;0;2PT Field Goal
Jump Shot;121;252;5;1;0;2005-06;11;1;3PT Field Goal
Jump Shot;79;135;0;1;0;2007-08;32;1;2PT Field Goal
Layup;2;0;2;1;0;2012-13;55;1;2PT Field Goal
Jump Shot;-156;84;5;2;0;2007-08;19;0;2PT Field Goal
Jump Shot;2;96;6;3;0;2010-11;43;1;2PT Field Goal
Jump Shot;-234;143;6;4;0;2009-10;8;0;3PT Field Goal
Jump Shot;-123;155;11;4;0;2006-07;6;0;2PT Field Goal
Jump Shot;-29;74;1;2;0;2008-09;13;1;2PT Field Goal
Layup;0;0;9;2;0;1997-98;38;0;2PT Field Goal
Jump Shot;-166;100;1;1;0;1997-98;33;0;2PT Field Goal
Jump Shot;214;130;10;2;0;1997-98;24;0;3PT Field Goal
Jump Shot;-209;148;10;4;0;2002-03;28;0;3PT Field Goal
Jump Shot;45;50;2;2;0;2010-11;44;0;2PT Field Goal
Jump Shot;-100;63;7;3;0;1998-99;31;0;2PT Field Goal
Layup;12;7;1;4;0;2012-13;32;0;2PT Field Goal
Jump Shot;-112;64;8;4;0;2006-07;56;0;2PT Field Goal
Jump Shot;-141;236;3;4;0;2014-15;43;0;3PT Field Goal
Jump Shot;-173;-12;6;2;0;1998-99;9;1;2PT Field Goal
Jump Shot;-141;70;11;4;0;1999-00;41;1;2PT Field Goal
Jump Shot;0;80;3;2;0;2010-11;29;1;2PT Field Goal
Jump Shot;16;128;8;3;1;2007-08;46;1;2PT Field Goal
Jump Shot;72;140;11;4;0;2003-04;27;1;2PT Field Goal
Layup;0;0;8;3;0;2008-09;33;1;2PT Field Goal
Jump Shot;154;10;0;4;0;2006-07;4;0;2PT Field Goal
Jump Shot;-14;179;7;3;0;2001-02;18;1;2PT Field Goal
Jump Shot;-8;69;10;3;0;2008-09;18;1;2PT Field Goal
Layup;0;0;5;4;0;2008-09;58;1;2PT Field Goal
Jump Shot;159;-6;10;4;0;2002-03;40;0;2PT Field Goal
Jump Shot;-168;141;10;3;0;2004-05;3;0;2PT Field Goal
Jump Shot;-94;0;2;3;0;2000-01;57;0;2PT Field Goal
Jump Shot;144;125;5;4;0;2007-08;55;0;2PT Field Goal
Jump Shot;152;126;3;1;0;2012-13;11;0;2PT Field Goal
Jump Shot;94;0;4;3;0;2012-13;41;1;2PT Field Goal
Jump Shot;-176;93;11;4;0;2000-01;48;0;2PT Field Goal
Jump Shot;-113;1;3;1;0;1998-99;13;1;2PT Field Goal
Jump Shot;204;146;4;1;0;2007-08;14;1;3PT Field Goal
Jump Shot;-184;3;4;4;0;2004-05;11;0;2PT Field Goal
Jump Shot;158;242;8;3;0;2005-06;39;0;3PT Field Goal
Jump Shot;-149;141;9;3;0;2006-07;27;0;2PT Field Goal
Dunk;0;2;4;1;0;2007-08;37;1;2PT Field Goal
Layup;13;19;2;2;0;2010-11;21;1;2PT Field Goal
Jump Shot;-204;36;10;3;0;2005-06;34;1;2PT Field Goal
Layup;10;26;8;4;0;2015-16;42;0;2PT Field Goal
Jump Shot;18;214;7;3;0;2007-08;17;1;2PT Field Goal
Layup;0;0;9;3;1;2008-09;9;0;2PT Field Goal
Layup;11;-13;2;2;1;2000-01;15;1;2PT Field Goal
Jump Shot;-189;173;3;3;0;2002-03;52;1;3PT Field Goal
Jump Shot;80;120;11;3;0;2005-06;12;1;2PT Field Goal
Layup;0;0;9;3;0;2007-08;14;1;2PT Field Goal
Layup;0;0;3;2;0;2004-05;18;0;2PT Field Goal
Jump Shot;-119;42;3;2;0;1998-99;47;0;2PT Field Goal
Jump Shot;62;63;3;1;0;2001-02;26;1;2PT Field Goal
Jump Shot;141;110;5;1;0;2006-07;29;0;2PT Field Goal
Layup;0;0;5;3;0;2004-05;18;0;2PT Field Goal
Jump Shot;-154;105;9;4;0;2005-06;41;0;2PT Field Goal
Layup;0;48;3;3;0;2012-13;8;1;2PT Field Goal
Layup;0;0;2;1;1;2007-08;16;1;2PT Field Goal
Jump Shot;115;85;7;3;0;2000-01;26;0;2PT Field Goal
Jump Shot;198;31;0;4;0;2012-13;13;1;2PT Field Goal
Jump Shot;132;20;0;3;0;2011-12;2;0;2PT Field Goal
Jump Shot;72;268;9;3;0;2012-13;10;1;3PT Field Goal
Jump Shot;156;10;10;4;0;1997-98;42;0;2PT Field Goal
Jump Shot;-187;66;1;4;0;2000-01;11;1;2PT Field Goal
Layup;0;0;5;4;1;2000-01;59;1;2PT Field Goal
Jump Shot;-33;13;7;1;0;2001-02;35;0;2PT Field Goal
Dunk;-8;12;2;4;0;2010-11;2;1;2PT Field Goal
Jump Shot;-81;9;2;3;0;2011-12;53;1;2PT Field Goal
Layup;0;0;0;3;0;2008-09;1;1;2PT Field Goal
Jump Shot;200;146;4;1;0;2009-10;9;0;3PT Field Goal
Jump Shot;181;35;5;4;0;2006-07;47;0;2PT Field Goal
Jump Shot;-141;46;11;4;0;1999-00;15;1;2PT Field Goal
Jump Shot;102;235;0;4;1;2010-11;2;0;3PT Field Goal
Layup;0;0;0;2;0;2007-08;0;1;2PT Field Goal
Jump Shot;209;125;7;3;0;2007-08;8;1;3PT Field Goal
Jump Shot;23;115;8;2;1;2002-03;58;0;2PT Field Goal
Jump Shot;234;26;0;2;0;2010-11;2;0;3PT Field Goal
Jump Shot;-123;127;0;2;1;2008-09;28;1;2PT Field Goal
Jump Shot;-12;72;6;2;0;1999-00;29;1;2PT Field Goal
Layup;0;0;0;1;0;1997-98;30;0;2PT Field Goal
Layup;23;-1;0;2;0;2003-04;17;0;2PT Field Goal
Jump Shot;-149;375;0;1;0;1997-98;0;0;3PT Field Goal
Jump Shot;-51;242;10;1;1;1999-00;5;0;3PT Field Goal
Jump Shot;130;146;5;1;0;2007-08;39;0;2PT Field Goal
Jump Shot;107;146;8;4;1;2005-06;30;1;2PT Field Goal
Jump Shot;201;159;0;3;0;2012-13;0;0;3PT Field Goal
Jump Shot;-73;36;7;1;0;2012-13;13;0;2PT Field Goal
Jump Shot;-75;49;1;2;0;2004-05;32;1;2PT Field Goal
Jump Shot;-123;123;7;3;0;2014-15;6;1;2PT Field Goal
Jump Shot;-111;55;0;1;0;2009-10;41;1;2PT Field Goal
Jump Shot;-154;189;5;1;0;2006-07;23;0;3PT Field Goal
Jump Shot;54;253;7;3;0;2000-01;23;0;3PT Field Goal
Jump Shot;-54;253;4;4;0;2000-01;6;0;3PT Field Goal
Jump Shot;-127;244;4;4;0;2009-10;44;0;3PT Field Goal
Jump Shot;121;74;7;2;0;2005-06;39;0;2PT Field Goal
Jump Shot;-220;140;5;2;0;2008-09;44;1;3PT Field Goal
Jump Shot;-53;57;4;1;0;1997-98;4;0;2PT Field Goal
Jump Shot;-149;91;9;2;0;2001-02;2;0;2PT Field Goal
Layup;0;0;4;3;0;2002-03;58;1;2PT Field Goal
Jump Shot;111;179;5;1;0;1998-99;58;0;2PT Field Goal
Layup;0;0;7;3;1;2000-01;14;1;2PT Field Goal
Jump Shot;18;123;3;4;1;2003-04;31;0;2PT Field Goal
Layup;-18;23;4;3;0;2011-12;6;1;2PT Field Goal
Jump Shot;-106;0;1;1;1;1997-98;55;1;2PT Field Goal
Jump Shot;-207;1;8;2;0;1998-99;58;1;2PT Field Goal
Jump Shot;-156;194;4;1;0;2006-07;39;0;3PT Field Goal
Jump Shot;0;151;8;4;0;2008-09;34;0;2PT Field Goal
Dunk;4;23;1;2;0;2010-11;27;1;2PT Field Goal
Jump Shot;112;-26;7;1;0;2003-04;3;1;2PT Field Goal
Layup;0;0;6;1;0;2006-07;12;1;2PT Field Goal
Jump Shot;0;214;11;2;0;2002-03;50;0;2PT Field Goal
Jump Shot;136;55;9;1;0;1999-00;44;0;2PT Field Goal
Jump Shot;6;46;7;1;0;2015-16;40;0;2PT Field Goal
Jump Shot;-199;143;5;3;1;1999-00;21;0;3PT Field Goal
Jump Shot;-59;67;7;3;0;2009-10;32;0;2PT Field Goal
Dunk;0;0;6;4;0;2009-10;23;1;2PT Field Goal
Jump Shot;142;34;3;3;0;2001-02;19;0;2PT Field Goal
Jump Shot;-134;7;4;4;0;2008-09;59;0;2PT Field Goal
Jump Shot;108;-3;10;4;0;1997-98;58;0;2PT Field Goal
Jump Shot;103;77;2;2;0;2009-10;42;0;2PT Field Goal
Layup;0;0;0;4;1;2008-09;0;1;2PT Field Goal
Jump Shot;-209;66;1;3;0;2011-12;11;0;2PT Field Goal
Layup;0;0;9;3;0;2001-02;52;0;2PT Field Goal
Layup;0;0;3;2;0;1997-98;44;1;2PT Field Goal
Jump Shot;-36;26;8;1;0;2006-07;47;1;2PT Field Goal
Jump Shot;-61;216;9;1;0;1999-00;39;0;2PT Field Goal
Jump Shot;-58;181;2;2;0;2000-01;5;0;2PT Field Goal
Jump Shot;-78;162;2;1;1;2009-10;58;1;2PT Field Goal
Jump Shot;176;167;4;3;0;2012-13;52;1;3PT Field Goal
Jump Shot;-8;130;2;4;0;2002-03;35;1;2PT Field Goal
Jump Shot;-139;252;5;2;0;2012-13;26;0;3PT Field Goal
Jump Shot;187;-16;4;1;0;2015-16;30;0;2PT Field Goal
Jump Shot;74;10;1;2;0;2002-03;32;1;2PT Field Goal
Jump Shot;129;156;0;2;0;2010-11;34;0;2PT Field Goal
Jump Shot;-126;53;11;4;0;1997-98;39;0;2PT Field Goal
Layup;0;0;4;3;0;2007-08;50;1;2PT Field Goal
Jump Shot;107;160;6;1;0;2015-16;31;0;2PT Field Goal
Jump Shot;138;110;3;2;0;2000-01;44;0;2PT Field Goal
Jump Shot;-4;64;4;1;0;2008-09;19;1;2PT Field Goal
Jump Shot;163;195;4;3;0;2008-09;31;0;3PT Field Goal
Jump Shot;121;26;0;3;0;2000-01;1;1;2PT Field Goal
Layup;0;0;1;4;0;2003-04;9;1;2PT Field Goal
Jump Shot;-225;120;6;4;0;2005-06;26;0;3PT Field Goal
Layup;0;0;2;2;0;2007-08;11;1;2PT Field Goal
Jump Shot;-85;127;3;2;1;2005-06;24;0;2PT Field Goal
Layup;-13;18;10;3;0;2007-08;10;0;2PT Field Goal
Jump Shot;-111;183;0;2;0;2012-13;58;0;2PT Field Goal
Jump Shot;-166;199;5;1;0;2004-05;17;0;3PT Field Goal
Jump Shot;42;192;4;1;0;2010-11;6;0;2PT Field Goal
Jump Shot;-18;129;0;2;0;2014-15;37;0;2PT Field Goal
Layup;0;0;7;1;0;2003-04;5;0;2PT Field Goal
Jump Shot;15;61;1;1;0;2005-06;3;1;2PT Field Goal
Jump Shot;-64;18;1;2;0;2003-04;49;0;2PT Field Goal
Jump Shot;92;25;0;4;1;2003-04;34;0;2PT Field Goal
Layup;0;0;10;3;0;2000-01;26;0;2PT Field Goal
Jump Shot;103;158;2;4;0;2002-03;31;0;2PT Field Goal
Layup;0;0;1;4;0;1996-97;33;1;2PT Field Goal
Jump Shot;-130;97;9;2;0;2002-03;23;0;2PT Field Goal
Jump Shot;161;204;10;3;0;2003-04;21;0;3PT Field Goal
Jump Shot;72;133;10;2;0;2002-03;27;0;2PT Field Goal
Layup;-27;25;10;3;0;2012-13;7;1;2PT Field Goal
Jump Shot;28;150;11;3;0;2002-03;35;0;2PT Field Goal
Jump Shot;138;209;1;4;0;2007-08;25;1;3PT Field Goal
Layup;0;0;2;3;0;1997-98;27;1;2PT Field Goal
Jump Shot;-117;38;4;4;0;2001-02;5;1;2PT Field Goal
Layup;0;0;8;3;0;2002-03;22;0;2PT Field Goal
Jump Shot;41;176;3;4;0;2002-03;50;1;2PT Field Goal
Jump Shot;108;241;0;2;1;2001-02;28;0;3PT Field Goal
Jump Shot;167;78;11;2;0;2000-01;16;0;2PT Field Goal
Jump Shot;-179;174;0;4;0;2002-03;34;0;3PT Field Goal
Jump Shot;227;114;11;2;0;2006-07;45;0;3PT Field Goal
Layup;0;0;6;3;0;2000-01;54;0;2PT Field Goal
Jump Shot;235;-16;2;4;0;2002-03;7;0;3PT Field Goal
Layup;28;4;0;2;0;2009-10;27;1;2PT Field Goal
Jump Shot;164;-1;1;3;0;1999-00;6;1;2PT Field Goal
Jump Shot;78;132;0;3;0;1999-00;56;0;2PT Field Goal
Jump Shot;-163;151;4;1;1;2009-10;52;0;2PT Field Goal
Jump Shot;86;83;2;3;0;2014-15;28;1;2PT Field Goal
Jump Shot;79;173;7;4;0;2004-05;52;1;2PT Field Goal
Layup;7;14;4;2;0;2010-11;34;0;2PT Field Goal
Jump Shot;164;27;9;1;1;1999-00;59;0;2PT Field Goal
Jump Shot;-98;173;3;2;0;2001-02;57;1;2PT Field Goal
Layup;0;0;8;4;0;2000-01;14;0;2PT Field Goal
Jump Shot;62;187;3;4;0;2008-09;10;1;2PT Field Goal
Jump Shot;-65;246;5;2;0;2012-13;40;0;3PT Field Goal
Dunk;0;0;1;4;0;1997-98;14;1;2PT Field Goal
Jump Shot;-97;115;9;4;0;2009-10;57;0;2PT Field Goal
Jump Shot;116;230;5;3;0;2008-09;32;0;3PT Field Goal
Jump Shot;150;213;2;1;0;2015-16;59;0;3PT Field Goal
Jump Shot;10;238;2;3;1;2009-10;58;1;3PT Field Goal
Layup;20;6;9;2;0;2012-13;1;0;2PT Field Goal
Jump Shot;143;81;0;2;0;2007-08;41;0;2PT Field Goal
Jump Shot;54;31;5;2;0;2010-11;54;0;2PT Field Goal
Jump Shot;182;18;4;1;0;2002-03;17;1;2PT Field Goal
Jump Shot;132;3;10;1;0;2008-09;54;0;2PT Field Goal
Jump Shot;119;36;7;1;1;2000-01;30;0;2PT Field Goal
Jump Shot;-136;212;11;3;1;2005-06;43;0;3PT Field Goal
Layup;0;0;7;2;0;1997-98;44;1;2PT Field Goal
Jump Shot;140;160;3;1;0;2008-09;49;0;2PT Field Goal
Layup;22;7;3;4;0;2015-16;54;0;2PT Field Goal
Layup;0;0;0;1;0;1997-98;50;0;2PT Field Goal
Jump Shot;-43;200;10;1;0;2015-16;57;0;2PT Field Goal
Jump Shot;59;53;7;3;0;1999-00;1;0;2PT Field Goal
Layup;0;0;6;1;0;2008-09;58;0;2PT Field Goal
Jump Shot;-195;148;6;4;0;2001-02;28;1;3PT Field Goal
Jump Shot;-161;23;0;2;1;2010-11;10;1;2PT Field Goal
Jump Shot;91;7;8;1;1;2001-02;3;1;2PT Field Goal
Jump Shot;131;158;1;4;0;2003-04;31;0;2PT Field Goal
Jump Shot;135;242;7;4;0;2005-06;37;0;3PT Field Goal
Layup;0;0;4;4;0;1997-98;7;0;2PT Field Goal
Layup;0;0;7;3;0;2003-04;14;1;2PT Field Goal
Jump Shot;-71;177;4;3;0;2001-02;25;0;2PT Field Goal
Jump Shot;3;120;5;3;1;2000-01;10;1;2PT Field Goal
Layup;4;19;0;2;0;2010-11;6;1;2PT Field Goal
Dunk;0;0;6;3;0;2007-08;28;0;2PT Field Goal
Jump Shot;-128;36;8;1;0;2010-11;36;0;2PT Field Goal
Jump Shot;223;22;4;4;0;2004-05;57;0;3PT Field Goal
Jump Shot;-56;36;5;4;0;2011-12;11;1;2PT Field Goal
Layup;0;0;3;1;0;1996-97;35;0;2PT Field Goal
Jump Shot;-172;204;0;1;0;2002-03;48;0;3PT Field Goal
Jump Shot;114;179;7;4;0;2011-12;32;0;2PT Field Goal
Jump Shot;166;64;8;1;0;2005-06;7;0;2PT Field Goal
Jump Shot;-48;18;0;3;0;2006-07;30;0;2PT Field Goal
Layup;0;0;1;3;0;1997-98;41;1;2PT Field Goal
Jump Shot;94;143;6;4;0;2006-07;10;0;2PT Field Goal
Jump Shot;-21;117;9;3;1;2007-08;15;1;2PT Field Goal
Jump Shot;129;0;8;1;0;2011-12;28;0;2PT Field Goal
Layup;0;0;8;3;0;2000-01;8;0;2PT Field Goal
Jump Shot;172;192;3;4;0;2000-01;36;1;3PT Field Goal
Jump Shot;-67;197;4;4;0;2012-13;2;1;2PT Field Goal
Layup;0;0;1;4;0;2006-07;34;0;2PT Field Goal
Jump Shot;3;144;10;3;0;2000-01;8;0;2PT Field Goal
Jump Shot;-147;121;9;3;0;2008-09;46;1;2PT Field Goal
Jump Shot;-12;194;0;1;0;1997-98;25;0;2PT Field Goal
Layup;0;0;8;2;0;1996-97;14;1;2PT Field Goal
Layup;0;0;1;4;1;2007-08;59;0;2PT Field Goal
Jump Shot;-29;22;10;1;0;2010-11;19;1;2PT Field Goal
Jump Shot;7;253;5;4;0;2001-02;14;0;3PT Field Goal
Jump Shot;-215;134;1;2;0;2015-16;44;0;3PT Field Goal
Jump Shot;135;-14;9;2;0;2003-04;26;0;2PT Field Goal
Layup;0;0;0;1;0;2007-08;1;1;2PT Field Goal
Jump Shot;-153;56;1;2;0;2010-11;57;1;2PT Field Goal
Jump Shot;-120;78;3;2;0;2011-12;3;0;2PT Field Goal
Jump Shot;-144;129;3;1;1;2009-10;3;1;2PT Field Goal
Jump Shot;-108;137;1;4;0;2003-04;35;0;2PT Field Goal
Layup;0;0;6;2;1;2008-09;22;0;2PT Field Goal
Dunk;0;0;4;2;0;2005-06;45;0;2PT Field Goal
Layup;0;0;9;4;0;2009-10;43;0;2PT Field Goal
Jump Shot;97;102;0;2;0;2014-15;21;0;2PT Field Goal
Jump Shot;121;147;2;1;0;1999-00;8;0;2PT Field Goal
Layup;0;0;1;4;0;2009-10;51;1;2PT Field Goal
Jump Shot;113;230;11;4;0;2000-01;43;1;3PT Field Goal
Dunk;16;7;8;3;0;2001-02;0;0;2PT Field Goal
Jump Shot;-4;31;5;1;0;2010-11;6;0;2PT Field Goal
Jump Shot;11;137;8;3;0;2000-01;52;0;2PT Field Goal
Dunk;1;2;1;4;0;2006-07;40;1;2PT Field Goal
Jump Shot;119;173;5;3;0;2008-09;19;0;2PT Field Goal
Jump Shot;-177;155;10;2;0;1996-97;47;0;3PT Field Goal
Jump Shot;-179;30;6;4;0;2007-08;42;0;2PT Field Goal
Layup;0;0;9;3;0;2008-09;42;0;2PT Field Goal
Jump Shot;113;174;11;3;0;2006-07;16;0;2PT Field Goal
Jump Shot;-106;71;1;2;0;2010-11;8;0;2PT Field Goal
Jump Shot;-119;106;1;4;0;1998-99;38;1;2PT Field Goal
Jump Shot;92;172;6;4;0;2010-11;31;0;2PT Field Goal
Jump Shot;0;329;0;3;1;2008-09;0;1;3PT Field Goal
Jump Shot;149;209;5;3;0;2004-05;13;1;3PT Field Goal
Jump Shot;121;87;8;4;0;2005-06;24;0;2PT Field Goal
Layup;0;0;5;4;0;2000-01;37;0;2PT Field Goal
Jump Shot;-187;-19;9;4;0;2001-02;4;1;2PT Field Goal
Jump Shot;77;236;0;3;0;2000-01;1;0;3PT Field Goal
Jump Shot;162;115;6;4;0;2008-09;29;0;2PT Field Goal
Jump Shot;64;40;10;1;0;2000-01;33;0;2PT Field Goal
Layup;0;0;1;4;0;2003-04;10;0;2PT Field Goal
Jump Shot;89;195;3;3;0;2008-09;19;1;2PT Field Goal
Layup;-2;15;2;3;0;2011-12;47;0;2PT Field Goal
Jump Shot;-100;146;2;4;0;2007-08;52;1;2PT Field Goal
Dunk;0;0;1;2;0;2004-05;6;1;2PT Field Goal
Layup;0;0;0;1;0;2004-05;46;1;2PT Field Goal
Jump Shot;128;396;0;3;0;2002-03;0;0;3PT Field Goal
Jump Shot;133;104;5;3;0;2006-07;50;1;2PT Field Goal
Jump Shot;-128;151;2;1;0;1998-99;31;0;2PT Field Goal
Jump Shot;-38;131;6;3;1;2010-11;9;1;2PT Field Goal
Jump Shot;195;118;3;2;0;2012-13;16;1;2PT Field Goal
Jump Shot;-49;80;8;2;0;2014-15;16;1;2PT Field Goal
Jump Shot;-51;206;8;4;1;2006-07;14;0;2PT Field Goal
Jump Shot;-118;17;5;3;0;2005-06;1;0;2PT Field Goal
Jump Shot;-72;125;11;2;0;2007-08;46;1;2PT Field Goal
Jump Shot;-220;100;7;3;0;2007-08;17;0;3PT Field Goal
Jump Shot;177;94;10;1;0;2002-03;40;1;2PT Field Goal
Jump Shot;-192;148;3;2;0;2006-07;42;0;3PT Field Goal
Jump Shot;-149;130;4;4;0;2007-08;51;1;2PT Field Goal
Jump Shot;-135;104;6;4;0;2002-03;32;0;2PT Field Goal
Jump Shot;138;19;0;2;0;2009-10;50;0;2PT Field Goal
Jump Shot;-151;150;5;2;1;2003-04;55;0;2PT Field Goal
Jump Shot;-12;169;3;4;0;2001-02;4;0;2PT Field Goal
Layup;0;0;11;3;0;2007-08;42;1;2PT Field Goal
Jump Shot;64;13;7;4;0;2001-02;16;0;2PT Field Goal
Jump Shot;34;156;11;4;0;2005-06;49;0;2PT Field Goal
Dunk;0;0;11;4;1;1997-98;44;0;2PT Field Goal
Jump Shot;-70;250;4;3;0;1999-00;49;0;3PT Field Goal
Jump Shot;62;79;9;1;0;2007-08;41;0;2PT Field Goal
Layup;0;0;3;1;0;2008-09;3;0;2PT Field Goal
Jump Shot;31;130;4;3;0;2002-03;23;0;2PT Field Goal
Layup;0;0;11;4;0;2007-08;33;1;2PT Field Goal
Jump Shot;223;110;9;4;0;2015-16;53;0;3PT Field Goal
Jump Shot;-35;55;1;2;1;2009-10;26;1;2PT Field Goal
Jump Shot;-134;7;4;2;0;2000-01;36;0;2PT Field Goal
Jump Shot;6;132;9;2;0;2003-04;5;0;2PT Field Goal
Jump Shot;-96;163;6;1;1;2001-02;52;0;2PT Field Goal
Jump Shot;-109;247;0;4;0;2000-01;23;0;3PT Field Goal
Jump Shot;-153;47;10;1;0;2001-02;42;0;2PT Field Goal
Jump Shot;-141;222;7;1;0;2001-02;47;0;3PT Field Goal
Jump Shot;-89;127;10;4;1;2007-08;14;0;2PT Field Goal
Jump Shot;-157;25;3;2;0;2008-09;52;1;2PT Field Goal
Jump Shot;228;22;0;4;0;2005-06;33;0;3PT Field Goal
Jump Shot;10;179;3;2;0;2006-07;51;1;2PT Field Goal
Jump Shot;31;138;7;4;1;2009-10;0;0;2PT Field Goal
Jump Shot;23;199;5;3;0;2005-06;19;0;2PT Field Goal
Jump Shot;-103;135;7;4;0;2011-12;30;1;2PT Field Goal
Jump Shot;-146;6;6;2;0;1996-97;5;1;2PT Field Goal
Jump Shot;-154;197;6;1;0;2005-06;9;1;3PT Field Goal
Jump Shot;97;71;2;1;0;2006-07;21;0;2PT Field Goal
Layup;-8;0;3;1;0;2009-10;58;1;2PT Field Goal
Jump Shot;-57;25;9;3;0;1998-99;31;1;2PT Field Goal
Layup;0;0;2;2;0;2002-03;56;1;2PT Field Goal
Jump Shot;182;181;8;3;0;2005-06;43;1;3PT Field Goal
Jump Shot;1;71;1;2;0;2008-09;10;1;2PT Field Goal
Jump Shot;147;91;3;4;0;2011-12;38;0;2PT Field Goal
Jump Shot;-93;116;2;2;0;2010-11;39;1;2PT Field Goal
Jump Shot;-57;110;8;1;0;2005-06;52;1;2PT Field Goal
Jump Shot;146;144;9;1;1;2000-01;36;1;2PT Field Goal
